,actual,forecast,error,abs_error,squared_error,abs_percentage_error
2010-03-01,219.67,185.4979337514231,34.1720662485769,34.1720662485769,1167.7301116971282,0.15556091523001275
2010-04-01,1037.9500000000003,377.4200553513209,660.5299446486794,660.5299446486794,436299.80777758744,0.6363793483777438
2010-05-01,1435.6800000000096,-20.528067382867288,1456.2080673828768,1456.2080673828768,2120541.935510973,1.0142984978427414
2010-06-01,996.3000000000042,3063.6134954776226,-2067.3134954776183,2067.3134954776183,4273785.0885838885,2.074990962037147
2010-07-01,83.11000000000085,1064.1840530145962,-981.0740530145954,981.0740530145954,962506.2974984851,11.804524762538627
2010-08-01,134.920000000002,114.53497328908719,20.385026710914815,20.385026710914815,415.5493140047105,0.15108973251493116
2010-09-01,757.0600000000014,221.81309179052772,535.2469082094738,535.2469082094738,286489.25274780084,0.7070072493718764
2010-10-01,900.3200000000046,640.696030558152,259.62396944185264,259.62396944185264,67404.60550874403,0.2883685461189925
2010-11-01,741.2199999999992,1128.4063371168422,-387.186337116843,387.186337116843,149913.2596499576,0.5223635858676822
2010-12-01,548.6300000000175,530.9107135921864,17.719286407831078,17.719286407831078,313.97311080274716,0.032297334100997964
2011-01-01,105.98999999999116,1334.8936426903117,-1228.9036426903206,1228.9036426903206,1510204.163017539,11.594524414477055
2011-02-01,1303.200000000062,209.99065922931283,1093.2093407707491,1093.2093407707491,1195106.662748416,0.838865362776778
2011-03-01,653.8999999999521,-889.5261869934642,1543.4261869934162,1543.4261869934162,2382164.3946970357,2.360339787419375
2011-04-01,782.7299999999808,528.4785790929318,254.251420907049,254.251420907049,64643.7850332534,0.3248264675009968
2011-05-01,401.1999999999807,1335.523785470986,-934.3237854710053,934.3237854710053,872960.9360968692,2.328822994693545
2011-06-01,565.599999999982,1029.9733168945852,-464.37331689460325,464.37331689460325,215642.5774436956,0.8210277880032144
2011-07-01,1054.8500000001875,762.1420879045227,292.7079120956648,292.7079120956648,85677.92180340344,0.27748771113960546
2011-08-01,452.9700000000114,2301.0377799796756,-1848.0677799796642,1848.0677799796642,3415354.5193989645,4.07989001474627
2011-09-01,153.0700000000014,918.400689397668,-765.3306893976666,765.3306893976666,585731.0641339076,4.999873844630951
2011-10-01,383.1500000000073,250.97226411476578,132.17773588524153,132.17773588524153,17470.953863748666,0.34497647366629
2011-11-01,610.0300000000128,604.7386994749854,5.2913005250273955,5.2913005250273955,27.99786124615519,0.00867383657365586
2011-12-01,150.0800000000124,768.1576105026512,-618.0776105026388,618.0776105026388,382019.93260465167,4.118320965502317
2012-01-01,701.1099999999248,472.37215411517025,228.7378458847545,228.7378458847545,52321.002139997705,0.326251010376088
2012-02-01,902.0300000000549,871.7644512407836,30.26554875927127,30.26554875927127,916.0034416998267,0.03355270751446119
2012-03-01,167.9499999999507,1166.2036343979967,-998.253634398046,998.253634398046,996510.3185889076,5.943754893708478
2012-04-01,256.52999999994245,371.7720717370925,-115.24207173715007,115.24207173715007,13280.735098270443,0.4492342873627877
2012-05-01,158.05999999996254,481.91331081344595,-323.8533108134834,323.8533108134834,104880.96692485469,2.048926425493864
2012-06-01,772.0099999998321,486.5795488287987,285.4304511710334,285.4304511710334,81470.54245569967,0.36972377452506505
2012-07-01,602.2200000001499,688.3062766230464,-86.08627662289655,86.08627662289655,7410.847022793865,0.14294821929340626
2012-08-01,1220.3600000010483,1067.012444446761,153.34755555428728,153.34755555428728,23515.472794475223,0.12565763836421676
2012-09-01,1738.630000000159,1956.01051647789,-217.3805164777309,217.3805164777309,47254.28894412504,0.12502977429223644
2012-10-01,366.88000000002086,1626.1624582789566,-1259.2824582789358,1259.2824582789358,1585792.3097290397,3.4324096660457486
2012-11-01,379.3500000000363,791.3278793826299,-411.97787938259364,411.97787938259364,169725.77310057887,1.08600996278517
2012-12-01,81.68000000001005,491.6225506244553,-409.94255062444523,409.94255062444523,168052.89481247583,5.018885291679662
2013-01-01,71.99999999998633,295.9553528232875,-223.95535282330118,223.95535282330118,50156.00005820932,3.1104910114353292
2013-02-01,172.83000000001226,183.47887219371745,-10.648872193705188,10.648872193705188,113.39847899786754,0.06161472078750467
2013-03-01,130.38999999990125,159.85963293964312,-29.46963293974187,29.46963293974187,868.4592656031191,0.22601144980262436
2013-04-01,190.8099999998241,225.25971169786075,-34.44971169803665,34.44971169803665,1186.7826360778433,0.18054458203484308
2013-05-01,312.35999999973217,276.745192365816,35.61480763391614,35.61480763391614,1268.4145228008515,0.11401846470081535
2013-06-01,387.33999999972076,476.4493004279704,-89.10930042824964,89.10930042824964,7940.467422812051,0.2300544752112198
2013-07-01,528.4500000000525,422.0764217955131,106.37357820453934,106.37357820453934,11315.338140037247,0.201293553230256
2013-08-01,1141.2100000016246,909.7231962766524,231.48680372497222,231.48680372497222,53586.14029880381,0.20284330116686908
2013-09-01,385.98000000003265,1390.5599802167296,-1004.579980216697,1004.579980216697,1009180.9366521793,2.6026736624089644
2013-10-01,371.1500000006239,465.9424901824683,-94.79249018184441,94.79249018184441,8985.61619487507,0.2554021020657014
2013-11-01,167.96000000004622,465.05624385420555,-297.0962438541593,297.0962438541593,88266.17811225008,1.7688511779833147
2013-12-01,220.69000000019798,219.42224053279324,1.267759467404744,1.267759467404744,1.6072140671943604,0.005744526110850545
2014-01-01,492.8600000001491,470.70918256791043,22.150817432238682,22.150817432238682,490.6587129163691,0.04494342700205328
2014-02-01,546.2300000002652,752.7146439368667,-206.4846439366014,206.4846439366014,42635.90818162506,0.3780177652939259
