,actual,forecast,error,abs_error,squared_error,abs_percentage_error
2010-03-01,-54.46999999999999,-15.394575663830404,-39.07542433616959,39.07542433616959,1526.8887870517146,0.717375148451801
2010-04-01,-159.42999999999998,-90.35876322865958,-69.0712367713404,69.0712367713404,4770.835749122565,0.4332386424847294
2010-05-01,-23.64,-114.83694247910582,91.19694247910581,91.19694247910581,8316.882317537335,3.8577386835493153
2010-06-01,-71.0,-70.08669021445516,-0.9133097855448398,0.9133097855448398,0.8341347643719612,0.012863518106265348
2010-07-01,-8.259999999999998,32.472739935019696,-40.732739935019694,40.732739935019694,1659.1561026139482,4.931324447338947
2010-08-01,-55.87999999999999,23.18695338062444,-79.06695338062443,79.06695338062443,6251.583116893837,1.4149419001543386
2010-09-01,-15.890000000000011,1010.9483779272812,-1026.8383779272813,1026.8383779272813,1054397.05438433,64.62167261971558
2010-10-01,10.040000000000006,1.6073234840015431,8.432676515998462,8.432676515998462,71.11003322347197,0.8399080195217586
2010-11-01,19.51000000000002,79.91736010264479,-60.40736010264477,60.40736010264477,3649.0491545705995,3.0962255306327378
2010-12-01,-14.730000000000015,51.59499822156268,-66.3249982215627,66.3249982215627,4399.005389090295,4.502715425767999
2011-01-01,-60.78000000000006,187.06794136601448,-247.84794136601454,247.84794136601454,61428.60203937138,4.077787781606027
2011-02-01,-288.17000000000024,40.21754979266689,-328.38754979266713,328.38754979266713,107838.38285883144,1.1395618898312345
2011-03-01,16.57000000000002,65.00947837950473,-48.439478379504706,48.439478379504706,2346.383065678504,2.9233239818650962
2011-04-01,-148.6800000000002,-28.833420384308987,-119.84657961569121,119.84657961569121,14363.202645580212,0.8060706188841206
2011-05-01,2.8699999999999934,-178.30244695955358,181.17244695955358,181.17244695955358,32823.45553731226,63.12628813921742
2011-06-01,-111.18999999999974,4.375986369465341,-115.56598636946508,115.56598636946508,13355.497205547388,1.039355934611614
2011-07-01,-274.0299999999993,-92.01119807334554,-182.01880192665374,182.01880192665374,33130.84425481441,0.6642294709581221
2011-08-01,-434.44999999999897,-242.55651169097365,-191.89348830902532,191.89348830902532,36823.110855406034,0.4416929181931771
2011-09-01,-98.25999999999975,-642.1939021136379,543.9339021136382,543.9339021136382,295864.08986856893,5.535659496373291
2011-10-01,220.71999999999943,-51.218835524355605,271.93883552435506,271.93883552435506,73950.73026634223,1.2320534411215829
2011-11-01,-38.579999999999885,-220.7625036944227,182.1825036944228,182.1825036944228,33190.46465236838,4.722200717844047
2011-12-01,37.24999999999989,58.90853833205375,-21.65853833205386,21.65853833205386,469.0922826810463,0.5814372706591656
2012-01-01,-69.6599999999998,-43.053603715260785,-26.606396284739013,26.606396284739013,707.9003232605739,0.3819465444263435
2012-02-01,-226.30999999999935,-95.43300550064781,-130.87699449935155,130.87699449935155,17128.787689183297,0.5783084905631741
2012-03-01,-5.6399999999999855,-16.774952327898436,11.13495232789845,11.13495232789845,123.98716334457112,1.9742823276415742
2012-04-01,-117.3599999999997,-64.4463754854184,-52.9136245145813,52.9136245145813,2799.8516592700994,0.4508659212217232
2012-05-01,-224.51999999999944,-126.66553156205637,-97.85446843794307,97.85446843794307,9575.496993272396,0.4358385374930666
2012-06-01,-136.90999999999963,-304.1581748374721,167.24817483747245,167.24817483747245,27971.951986465752,1.2215921031149872
2012-07-01,-189.2299999999995,-118.64864895142001,-70.58135104857949,70.58135104857949,4981.727115842813,0.37299239575426557
2012-08-01,-56.06999999999984,-162.50572568715342,106.43572568715358,106.43572568715358,11328.563702551004,1.898265127290064
2012-09-01,-171.88999999999953,-76.6877583291413,-95.20224167085823,95.20224167085823,9063.466819156494,0.5538556150494996
2012-10-01,-229.2399999999994,-187.14060474156364,-42.09939525843578,42.09939525843578,1772.3590811260049,0.18364768477768229
2012-11-01,-40.92999999999989,-76.42790776396048,35.49790776396058,35.49790776396058,1260.101455618653,0.8672833560703805
2012-12-01,38.709999999999894,51.26218164783566,-12.552181647835766,12.552181647835766,157.55726412026502,0.3242619903858383
2013-01-01,-155.80999999999955,-54.31631191819053,-101.49368808180901,101.49368808180901,10300.968720447541,0.6513939290277216
2013-02-01,35.649999999999906,-112.51746706472663,148.16746706472654,148.16746706472654,21953.598296376822,4.156170184143813
2013-03-01,-59.39999999999984,25.766598624489255,-85.1665986244891,85.1665986244891,7253.349521264829,1.4337811216243994
2013-04-01,19.629999999999935,348.0291223406346,-328.3991223406347,328.3991223406347,107845.98355409915,16.729450959787865
2013-05-01,-153.77999999999946,-7.399303399178238,-146.3806966008212,146.3806966008212,21427.30833734167,0.9518838379556621
2013-06-01,-123.91999999999958,-233.3126307090432,109.39263070904362,109.39263070904362,11966.747653445193,0.8827681625971917
2013-07-01,-101.29999999999966,-100.66015646693079,-0.6398435330688699,0.6398435330688699,0.409399746810054,0.006316323129998737
2013-08-01,-317.50999999999885,-77.57938298111209,-239.93061701888678,239.93061701888678,57566.700983063725,0.7556631823214628
2013-09-01,23.36999999999993,-75.16259502136269,98.53259502136262,98.53259502136262,9708.672281643854,4.216200043704019
2013-10-01,-203.71999999999937,188.04616754637092,-391.7661675463703,391.7661675463703,153480.73003397067,1.923061886640347
2013-11-01,-21.509999999999934,-114.3441164196089,92.83411641960896,92.83411641960896,8618.17317140951,4.315858503933484
2013-12-01,15.099999999999952,14.526267958338511,0.5737320416614402,0.5737320416614402,0.32916845562900454,0.037995499447777616
2014-01-01,-39.879999999999875,-57.06220737181572,17.182207371815842,17.182207371815842,295.2282501680827,0.4308477274778309
