,actual,forecast,error,abs_error,squared_error,abs_percentage_error
2010-03-01,16087.96387360595,16103.631471366618,-15.667597760668286,15.667597760668286,245.4736195900979,0.0009738707697108073
2010-04-01,13804.38656553462,13467.797372479912,336.5891930547077,336.5891930547077,113292.28488121931,0.02438277075600514
2010-05-01,16423.99383506998,15498.043550634597,925.9502844353847,925.9502844353847,857383.9292459697,0.0563779001462003
2010-06-01,17871.13978702264,16894.574308144638,976.5654788780012,976.5654788780012,953680.1345362198,0.05464483466170115
2010-07-01,15447.201073321665,16929.21033888472,-1482.009265563056,1482.009265563056,2196351.4632147485,0.09594031038558719
2010-08-01,16260.371537255636,16621.761858969632,-361.39032171399595,361.39032171399595,130602.9646285455,0.022225219201540462
2010-09-01,17923.81195768986,16984.60412022326,939.2078374666016,939.2078374666016,882111.3619586903,0.052400005070553805
2010-10-01,16980.822932066243,16604.283343613173,376.5395884530699,376.5395884530699,141782.06167240723,0.022174401674139133
2010-11-01,17458.63058150394,17968.221815937028,-509.59123443308636,509.59123443308636,259683.2262110368,0.02918849975398177
2010-12-01,16967.9699174861,17215.59874337496,-247.62882588885986,247.62882588885986,61320.035411095276,0.014593898214875398
2011-01-01,16095.517688803182,15537.710768920115,557.8069198830672,557.8069198830672,311148.5598694345,0.03465604093437172
2011-02-01,18068.172693397246,17295.544466842217,772.628226555029,772.628226555029,596954.3764695692,0.04276183539231805
2011-03-01,20895.891434601428,19586.041429322588,1309.8500052788404,1309.8500052788404,1715707.0363289781,0.06268457171967617
2011-04-01,17108.52059074633,17547.79874288091,-439.2781521345787,439.2781521345787,192965.29494277007,0.025675986991661674
2011-05-01,18998.13953520331,20153.811690876384,-1155.6721556730736,1155.6721556730736,1335578.1313980487,0.06083080680250968
2011-06-01,20128.54558736121,19299.67254135733,828.8730460038823,828.8730460038823,687030.526391754,0.04117898346934389
2011-07-01,20182.925844375157,19239.112304581457,943.8135397937003,943.8135397937003,890783.9978979147,0.04676296920828923
2011-08-01,20791.502498142327,20397.607920814546,393.894577327781,393.894577327781,155152.93804823124,0.018944978957772512
2011-09-01,20644.548365543207,21904.120569861512,-1259.572204318305,1259.572204318305,1586522.137891274,0.06101234001420901
2011-10-01,17113.5485153672,20168.906475407974,-3055.357960040772,3055.357960040772,9335212.263984507,0.17853444931641133
2011-11-01,15374.80992268066,17713.32461449984,-2338.5146918191804,2338.5146918191804,5468650.963854156,0.15210039692064373
2011-12-01,15992.421018560033,15114.863334849393,877.55768371064,877.55768371064,770107.4882395838,0.05487334798728653
2012-01-01,15666.715433746089,14420.980017210408,1245.735416535681,1245.735416535681,1551856.7280113266,0.07951477907439157
2012-02-01,18810.77434646792,16606.127531215912,2204.6468152520065,2204.6468152520065,4860467.580000815,0.11720127915233702
2012-03-01,19860.2020114407,20605.559376532794,-745.3573650920953,745.3573650920953,555557.6016970311,0.0375302005821856
